,Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Autonomia,Napęd,Pojemność baterii,Rodzaj własności baterii,Emisja CO2,Filtr cząstek stałych,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Rodzaj koloru,Kierownica po prawej (Anglik),Kraj pochodzenia,Leasing,VAT marża,Faktura VAT,Okres gwarancji producenta,Możliwość finansowania,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Apple CarPlay,Android Auto,Boczne poduszki powietrzne - tył,Boczna poduszka powietrzna kierowcy,CD,Centralny zamek,Elektryczne szyby przednie,Elektrycznie ustawiany fotel pasażera,Elektrycznie ustawiane lusterka,Immobilizer,Poduszka powietrzna kierowcy,Poduszka powietrzna pasażera,Radio fabryczne,Wspomaganie kierownicy,Alarm,Alufelgi,ASR (kontrola trakcji),Alarm ruchu poprzecznego z tyłu pojazdu,Asystent parkowania,Asystent hamowania awaryjnego w mieście,Asystent hamowania - Brake Assist,Aktywny asystent zmiany pasa ruchu,Asystent jazdy w korku,Aktywne rozpoznawanie znaków ograniczenia prędkości,Asystent (czujnik) martwego pola,Asystent świateł drogowych,Asystent zapobiegania kolizjom na skrzyzowaniu,Asystent pasa ruchu,Automatyczna kontrola zjazdu ze stoku,Boczne poduszki powietrzne - przód,Cyfrowy kluczyk,Czujnik deszczu,Czujnik martwego pola,Czujnik zmierzchu,Czujniki parkowania przednie,Czujniki parkowania tylne,Dach panoramiczny,Dach otwierany elektrycznie,Dostęp do internetu,Dynamiczne światła doświetlające zakręty,Dźwignia zmiany biegów wykończona skórą,Ekran dotykowy,Elektrochromatyczne lusterka boczne,Elektrochromatyczne lusterko wsteczne,Elektryczne szyby tylne,Elektrycznie ustawiane fotele,Elektryczny hamulec postojowy,Elektroniczny system rozdziału siły hamowania,Elektroniczna kontrola ciśnienia w oponach,Elektroniczna regul. charakterystyki zawieszenia,Elektrycznie ustawiany fotel kierowcy,ESP,Felgi aluminiowe od 21,Felgi aluminiowe 19,Fotele przednie wentylowane,Fotele przednie z funkcje masażu,Funkcja szybkiego ładowania,Gniazdo AUX,Gniazdo SD,Gniazdo USB,Hak,Hamulce z kompozytów ceramicznych,HUD (wyświetlacz przezierny),Interfejs Bluetooth,Isofix,Kabel do ładowania,Kamera panoramiczna 360,Kamera cofania,Kamera parkowania tył,Kamera w lusterku bocznym,Kierownica ze sterowaniem radia,Kierownica skórzana,Kierownica wielofunkcyjna,Kierownica sportowa,Kierownica ogrzewana,Klimatyzacja automatyczna,Klimatyzacja czterostrefowa,Klimatyzacja automatyczna: 3 strefowa,Klimatyzacja dwustrefowa,"Klimatyzacja automatyczna, dwustrefowa",Klimatyzacja automatyczna: 4 lub wiêcej strefowa,Klimatyzacja manualna,Klimatyzacja dla pasażerów z tyłu,Komputer pokładowy,Kontrola trakcji,Kontrola odległości od poprzedzającego pojazdu,Kontrola odległości z tyłu (przy parkowaniu),Kontrola odległości z przodu (przy parkowaniu),Kurtyny powietrzne - przód,Kurtyny powietrzne - tył,Keyless Go,Keyless entry,Lane assist - kontrola zmiany pasa ruchu,Lampy tylne w technologii LED,Lampy przednie w technologii LED,Lampy bi-ksenonowe,Lampy ksenonowe,Lampy doświetlające zakręt,Lampy przeciwmgielne,Lampy przeciwmgielne w technologii LED,Lusterka boczne ustawiane elektrycznie,Lusterka boczne składane elektrycznie,Ładowanie bezprzewodowe urządzeń,Łopatki zmiany biegów,MP3,Nawigacja GPS,Niezależny system parkowania,Odtwarzacz DVD,Ogranicznik prędkości,Ogrzewanie postojowe,Ogrzewane siedzenia tylne,Opony runflat,Opony letnie,Opony wielosezonowe,Oświetlenie drogi do domu,Oświetlenie wnętrza LED,Oświetlenie adaptacyjne,Park Assistant - asystent parkowania,Podgrzewana przednia szyba,Podgrzewane lusterka boczne,Podgrzewane przednie siedzenia,Podgrzewane tylne siedzenia,Podłokietniki - przód,Podłokietniki - tył,Poduszka powietrzna chroniąca kolana,Poduszki boczne przednie,Poduszki boczne tylne,Poduszka powietrzna centralna,Poduszka kolan kierowcy,Poduszka kolan pasażera,Poduszka powietrzna pasów bezpieczeństwa zm tyłu,Podgrzewany fotel pasażera,Przyciemniane szyby,Przyciemniane tylne szyby,Radio niefabryczne,Radio,Regulowane zawieszenie,Regul. elektr. podparcia lędźwiowego - kierowca,Regul. elektr. podparcia lędźwiowego - pasażer,Relingi dachowe,Rolety na bocznych szybach opuszczane ręcznie,Siedzenie z pamięcią ustawienia,Sportowe fotele - przód,Spryskiwacze reflektorów,Sterowanie funkcjami pojazdu za pomocą głosu,System minimalizujący skutki kolizji,System wspomagania hamowania,System ostrzegający o możliwej kolizji,System rekomendacji przerw podczas trasy,System powiadamiania o wypadku,System Start/Stop,System nawigacji satelitarnej,System odzyskiwania energii,System nagłośnienia,System hamowania awaryjnego dla ochrony pieszych,System rozpoznawania znaków drogowych,Szyberdach,Szyberdach szklany - przesuwny i uchylny elektrycz,Światła do jazdy dziennej,Światła LED,Światła do jazdy dziennej diodowe LED,Światła przeciwmgielne,Światła Xenonowe,Tapicerka skórzana,Tapicerka Alcantara,Tapicerka welurowa,Tempomat,Tempomat aktywny,Tempomat adaptacyjny ACC,Tuner TV,Uruchamianie silnika bez użycia kluczyków,Wielofunkcyjna kierownica,Wycieraczki,Wspomaganie ruszania pod górę- Hill Holder,Wyświetlacz typu Head-Up,Zmieniarka CD,Zawieszenie sportowe,Zawieszenie komfortowe,Zawieszenie powietrzne,Zawieszenie regulowane,Zewnętrzne oklejenie,Zestaw głośnomówiący,Zmiana biegów w kierownicy,Cena,Szczegóły ceny,Waluta
24,Osoby prywatnej,Osobowe,Tak,Tak,Aixam,City,,,2018,20 500 km,479 cm3,Diesel,6 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Niebieski,,Metalik,,,,Tak,,,,,Tak,,,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,34999,Do negocjacji,PLN
25,Firmy,Osobowe,Tak,,Aixam,Coupe,,,2021,27 552 km,479 cm3,Diesel,8 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Inny kolor,,,,,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,57900,,PLN
26,Firmy,Osobowe,Tak,,Aixam,City,,,2012,41 570 km,400 cm3,Diesel,5 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,,Inny kolor,,,,,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24900,,PLN
27,Firmy,Osobowe,Tak,,Aixam,Crossover,,,2022,1 577 km,479 cm3,Diesel,8 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Niebieski,,,,,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,58500,,PLN
28,Firmy,Osobowe,Tak,,Aixam,City,,,2019,7 960 km,479 cm3,Diesel,8 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Biały,,,,,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44500,,PLN
29,Firmy,Osobowe,Tak,,Aixam,Crossover,,,2014,29 029 km,400 cm3,Diesel,4 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Szary,,Perłowy,,,,Tak,,,Tak,,Tak,,Tak,,Używane,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,28800,Do negocjacji,PLN
30,Firmy,Osobowe,Tak,,Aixam,Inny,,,2012,19 000 km,523 cm3,Diesel,5 KM,Automatyczna,,,,,,,,Auta małe,3,2,Srebrny,,Metalik,,,,,,,,,,,Tak,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22900,Do negocjacji,PLN
31,Osoby prywatnej,Osobowe,Tak,Tak,Aixam,City,,,2018,4 000 km,,Elektryczny,4 KM,Automatyczna,50 km,Na tylne koła,,W cenie,,,,Auta małe,2,2,Biały,,Metalik,,Polska,,Tak,,,,,Tak,,Tak,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,19200,Do negocjacji,PLN
32,Osoby prywatnej,Osobowe,Tak,Tak,Aixam,City,,,2015,41 200 km,400 cm3,Diesel,4 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Szary,,Metalik,,,,Tak,,,,,Tak,,,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,24999,Do negocjacji,PLN
33,Firmy,Osobowe,Tak,,Aixam,Crossline,,,2012,66 579 km,523 cm3,Diesel,5 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Niebieski,,,,Francja,,,,,,,Tak,,,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24900,Do negocjacji,PLN
34,Firmy,Osobowe,Tak,,Aixam,City,,,2008,48 000 km,505 cm3,Diesel,5 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Czerwony,,Metalik,,,,Tak,,,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13600,Do negocjacji,PLN
35,Firmy,Osobowe,Tak,,Aixam,Coupe,,,2019,25 880 km,480 cm3,Diesel,8 KM,Automatyczna,,Na przednie koła,,,,,,Coupe,3,2,Czerwony,,Metalik,,Francja,Tak,Tak,,,Tak,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44900,,PLN
36,Firmy,Osobowe,Tak,,Aixam,Crossline,,,2018,40 148 km,480 cm3,Diesel,6 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,2,2,Czerwony,,Metalik,,,,Tak,,,,,,,,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35900,,PLN
37,Osoby prywatnej,Osobowe,Tak,Tak,Aixam,Crossline,,,2017,31 000 km,479 cm3,Diesel,10 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,2,2,Czerwony,,Matowy,,,,,,,,,Tak,,,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,31500,Do negocjacji,PLN
38,Osoby prywatnej,Osobowe,Tak,Tak,Aixam,Crossover,,,2019,13 700 km,479 cm3,Diesel,8 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Niebieski,,Metalik,,Francja,,,,,,,Tak,,Tak,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42500,Do negocjacji,PLN
39,Osoby prywatnej,Osobowe,Tak,,Aixam,City,,,2020,6 400 km,,Elektryczny,8 KM,Automatyczna,100 km,Na przednie koła,6 kWh,W cenie,,,,Auta małe,3,,Biały,,,,,,,,,,,,,,,Używane,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,34000,,PLN
40,Firmy,Osobowe,Tak,,Aixam,City,,,2009,48 000 km,505 cm3,Diesel,5 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Biały,,Metalik,,,,Tak,,,,,Tak,,Tak,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500,Do negocjacji,PLN
41,Firmy,Osobowe,Tak,,Aixam,A741,,,2005,38 200 km,400 cm3,Diesel,5 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Szary,,Metalik,,,,Tak,,,Tak,,Tak,,Tak,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16700,Do negocjacji,PLN
42,Firmy,Osobowe,,,Aixam,City,,,2023,1 km,479 cm3,Diesel,8 KM,Automatyczna,,,,,,,,Auta małe,3,2,Czerwony,,Metalik,,,,Tak,,,Tak,,,,Tak,,Nowe,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12870,Do negocjacji,EUR
43,Firmy,Osobowe,Tak,,Aixam,City,,,2022,10 926 km,482 cm3,Diesel,8 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,2,2,Czerwony,,,,,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,,PLN
44,Osoby prywatnej,Osobowe,Tak,,Aixam,Inny,,,2018,52 482 km,479 cm3,Diesel,6 KM,Automatyczna,,,,,,,,Auta małe,3,2,Czerwony,,,,,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30500,,PLN
45,Osoby prywatnej,Osobowe,Tak,,Aixam,A751,,,2006,75 500 km,505 cm3,Benzyna,21 KM,Automatyczna,,,,,,,,Auta małe,3,4,Niebieski,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19999,,PLN
46,Firmy,Osobowe,,,Aixam,Crossover,,,2023,1 km,479 cm3,Diesel,8 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Inny kolor,,,,,,Tak,Tak,,Tak,,,,Tak,,Nowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16434,"Do negocjacji, Faktura VAT",EUR
47,Osoby prywatnej,Osobowe,Tak,,Aixam,Coupe,,,2014,73 748 km,400 cm3,Diesel,4 KM,Automatyczna,,,,,,,,Auta małe,2,,Czerwony,,Metalik,,,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29700,,PLN
48,Osoby prywatnej,Osobowe,Tak,Tak,Aixam,Crossline,,,2009,46 486 km,523 cm3,Diesel,4 KM,Automatyczna,,,,,,,,Auta małe,2,,Niebieski,,,,,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000,,PLN
49,Osoby prywatnej,Osobowe,Tak,,Aixam,Inny,,,2010,25 000 km,505 cm3,Diesel,4 KM,Automatyczna,,,,,,,,Auta małe,2,2,Biały,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15500,,PLN
50,Osoby prywatnej,Osobowe,Tak,,Aixam,Inny,,,2005,50 000 km,400 cm3,Diesel,4 KM,Manualna,,,,,,,,Auta małe,3,2,Biały,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,PLN
51,Osoby prywatnej,Osobowe,Tak,,Aixam,Coupe,,,2014,80 000 km,500 cm3,Diesel,6 KM,Manualna,,,,,,,,Auta małe,3,,Czerwony,,,,,,Tak,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19800,Do negocjacji,PLN
52,Firmy,Osobowe,Tak,Tak,Aixam,Crossline,,,2011,76 100 km,400 cm3,Diesel,5 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,2,2,Szary,,Metalik,,Austria,,Tak,,,Tak,,,,Tak,Tak,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,19500,Do negocjacji,PLN
53,Firmy,Osobowe,Tak,,Aixam,Crossover,,,2014,46 300 km,400 cm3,Diesel,5 KM,Automatyczna,,,,,,,,Auta małe,3,2,Szary,,Metalik,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27900,Do negocjacji,PLN
54,Osoby prywatnej,Osobowe,Tak,,Aixam,Coupe,,,2014,65 312 km,400 cm3,Diesel,5 KM,Automatyczna,,,,,,,,Auta małe,3,2,Srebrny,,,,,,,,,,,Tak,,,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,25500,Do negocjacji,PLN
55,Osoby prywatnej,Osobowe,Tak,,Aixam,A721,,,2005,11 000 km,400 cm3,Diesel,5 KM,Automatyczna,,,,,,,,Auta małe,3,,Szary,,,,,,,,,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14700,,PLN
56,Firmy,Osobowe,Tak,Tak,Aixam,City,,,2021,42 113 km,480 cm3,Diesel,8 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Biały,,,,,,Tak,,,,,Tak,,Tak,Tak,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34900,Do negocjacji,PLN
57,Firmy,Osobowe,Tak,Tak,Aixam,City,,,2013,85 000 km,400 cm3,Diesel,5 KM,Automatyczna,,Na przednie koła,,,,,,Auta małe,3,2,Biały,,Perłowy,,,,Tak,,,,,Tak,,,,Używane,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,22900,,PLN
